time_slot	column_a	column_b	column_c	column_d	column_e	video_id	channel_id	title	channel_title	scheduled_start_time	actual_start_time	actual_end_time
23:00	"창 패밀리

"	https://www.youtube.com/watch?v=d9XaVGUEhqE			"대리 기재"	d9XaVGUEhqE	UCVSdVA4YCLjIPs_Rtz6zB8Q	"[창팝]신창섭 - Mantra 2.0(Ft. DJ Chang) 반야심경 영어버전"	"창 패밀리"	2026-06-08T14:00:00Z	2026-06-08T14:00:06Z	2026-06-08T14:05:11Z
23:05	아무생각	https://youtu.be/PrvA2yXNEJE	3:38	2:00	리릭싸개	PrvA2yXNEJE	UCeI1wTYnS3lUL4C2jC06KPg	[창팝]개소릴까	아무생각없는거같기도하고아닌거같기도	2026-06-08T14:05:00Z	2026-06-08T14:05:06Z	2026-06-08T14:10:46Z
23:10	DWAET	https://youtu.be/8tY392tnIR4	3:36	1:00		8tY392tnIR4	UC7GvbrpAQuBOsJMhJggto8Q	"ListenJock(리슨족) - 하나만 해"	DWAET	2026-06-08T14:10:00Z	2026-06-08T14:10:06Z	2026-06-08T14:14:42Z
23:15												
23:20												
23:25												
23:30												
23:35												
23:40												
23:45												
23:50												
23:55												
