time_slot	column_a	column_b	column_c	column_d	column_e	video_id	channel_id	title	channel_title	scheduled_start_time	actual_start_time	actual_end_time
23:00	리스항르	"[개사] 리선족 - 내가 죽으려고 생각한것은"	452	2	개사	AUcx0KfK3BY	UCFkPy1vgducXZysIeR2uwgw	"[개사] 리선족 - 내가 죽으려고 생각한것은"	리스항르	2026-02-03T13:59:00Z	2026-02-03T13:59:06Z	2026-02-03T14:05:57Z
23:05	뮤버	https://youtu.be/hhdg_yJbJ_8	2:06	2	개사	hhdg_yJbJ_8	UCD2krO8hCqSM1Szqlpiiv-Q	"Sarigupe(쌀이급해) - 인창페3 20번"	뮤버mewver	2026-02-03T14:05:00Z	2026-02-03T14:05:06Z	2026-02-03T14:09:11Z
23:10	나락에나락	https://youtu.be/yRR4NqGNkAA	3:35	1		yRR4NqGNkAA	UCdNadM19-ZbQB8lDYBnIA3Q	"[창팝] 쌀숭이 - 기도"	나락에나락	2026-02-03T14:10:00Z	2026-02-03T14:10:06Z	2026-02-03T14:14:42Z
23:15	물통도정	https://youtu.be/CLHVU14FbM0	2:58			CLHVU14FbM0	UCsrInF6CK1bfsnMObuuZHGQ	"[개사창팝] 섭종통신 (원곡 : 차원통신 by.ABM)"	물통도정	2026-02-03T14:15:00Z	2026-02-03T14:15:06Z	
23:20												
23:25												
23:30												
23:35												
23:40												
23:45												
23:50												
23:55												
