time_slot	column_a	column_b	column_c	column_d	column_e	video_id	channel_id	title	channel_title	scheduled_start_time	actual_start_time	actual_end_time
23:00	신신	https://youtu.be/-CMOljU0vSo	3:54	1분	"보카코레 루키 참가"	-CMOljU0vSo	UCqo9oPps-o27MGTRP0XTnTA	"비늘의 혈육 (Scales of Love) - 미야마이 모카"	신신	2026-02-20T14:00:00Z	2026-02-20T14:00:06Z	2026-02-20T14:05:00Z
23:05	나는아무것도몰라	https://youtu.be/xrSTZNOsjzY	3:48	1		xrSTZNOsjzY	UC0e0-1WmiGtfj1WFbDDuHRA	"[창팝] 진화론"	나는아무것도몰라요	2026-02-20T14:05:00Z	2026-02-20T14:05:06Z	2026-02-20T14:09:53Z
23:10	메벤녀	https://youtu.be/IEoxY_tQgOI?si=IjWXeUbDKXzulAms	1:24	1		IEoxY_tQgOI	UC5Mtdoe_ITi7eKj7zKlMe5w	"덜덜이(Dull-dull-ee) - 요네의 제왕 렌용 [가사/Lyrics]"	메벤녀	2026-02-20T14:10:00Z	2026-02-20T14:10:06Z	2026-02-20T14:12:30Z
23:15												
23:20												
23:25												
23:30												
23:35												
23:40												
23:45												
23:50												
23:55												
