time_slot	column_a	column_b	column_c	column_d	column_e	video_id	channel_id	title	channel_title	scheduled_start_time	actual_start_time	actual_end_time
23:00	냥발멍멍이	https://youtu.be/UYWWnphBMT0	2:25	2		UYWWnphBMT0	UCKlS7h0Ks5x2HyfFasJaqAA	"신창섭 - 싫어? 좋아! (원곡: 좋아? 싫어!)"	냥발멍멍이	2026-03-29T14:00:00Z	2026-03-29T14:00:06Z	2026-03-29T14:04:31Z
23:05	레이지	https://youtu.be/GxTb5l2pQEo	3:06	2		GxTb5l2pQEo	UC6Yhz_2ciq5Ym3Ojkv9LqCA	ㅤ	레이지	2026-03-29T14:05:00Z	2026-03-29T14:05:05Z	
23:10												
23:15												
23:20												
23:25												
23:30												
23:35												
23:40												
23:45												
23:50												
23:55												
