time_slot	column_a	column_b	column_c	column_d	column_e	video_id	channel_id	title	channel_title	scheduled_start_time	actual_start_time	actual_end_time
23:00	복유라라로퍼리선족됨	https://youtu.be/A3_3BUKjReA	4:02	1		A3_3BUKjReA	UC206PKIfG_m4kfPtS-YRgjw	퍼리축제	복유라라로퍼리선족됨	2026-03-11T14:00:00Z	2026-03-11T14:00:05Z	2026-03-11T14:05:11Z
23:05	NATi	https://www.youtube.com/watch?v=VMa_lSDUwrg	2:02	2		VMa_lSDUwrg	UCBwi7cYOdBRpjs-XDrI_Oag	"[창팝] #4"	NATi	2026-03-11T14:05:00Z	2026-03-11T14:05:21Z	2026-03-11T14:09:22Z
23:10												
23:15												
23:20												
23:25												
23:30												
23:35												
23:40												
23:45												
23:50												
23:55												
