time_slot	column_a	column_b	column_c	column_d	column_e	video_id	channel_id	title	channel_title	scheduled_start_time	actual_start_time	actual_end_time
23:00	창팝용	https://youtu.be/aMZfPaTM6yU	0:03:29	1		aMZfPaTM6yU	UC-6V2KF8UierJH9EXkjoQEw	"[창팝/광과민성 발작 주의] 신창섭 - 그들만의 축제 MV"	창팝용	2026-01-10T14:00:00Z	2026-01-10T14:00:06Z	2026-01-10T14:04:35Z
23:05	김dred	https://youtu.be/Sxkh24lba8g	3:21	1		Sxkh24lba8g	UCTc8W4fbpOKdwRkBsEHRzrQ	"곰팡이 - Pangstalgia(항수)"	김dred	2026-01-10T14:05:00Z	2026-01-10T14:05:06Z	2026-01-10T14:09:26Z
23:10	물통도정	https://youtu.be/5TroXXSQOJc?si=gpDYOt-dItdl80T4	1:54	2		5TroXXSQOJc	UCsrInF6CK1bfsnMObuuZHGQ	"[창팝] 심플 스킷 트랙 딴따라 (feat. 나는아무것도몰라요)"	물통도정	2026-01-10T14:10:00Z	2026-01-10T14:10:06Z	2026-01-10T14:14:00Z
23:15	pie.	https://youtu.be/BUHIjh5T2A4?si=JZ3tQS_UFKZWqBuj	3:35	2		BUHIjh5T2A4	UCgeNiOz_DNwkL-ob5clUdhw	"[창팝]『 격창』 SUNO AI 불법커버"	φ.	2026-01-10T14:15:00Z	2026-01-10T14:15:06Z	2026-01-10T14:20:31Z
23:20	AlphaGo	https://youtu.be/udj3ygPQkFk	3:55	2		udj3ygPQkFk	UC_9gqm7fBpWyozpAfmRSINA	"[창팝] 노래"	AlphaGo	2026-01-10T14:20:00Z	2026-01-10T14:20:06Z	2026-01-10T14:26:00Z
23:25	체포낙	https://www.youtube.com/watch?v=1_PIUV2NRrs	3:21	2		1_PIUV2NRrs	UCi35WeuD14KkTeCmVmqjDKg	"신창섭 - 종이 가면 OP"	체포낙	2026-01-10T14:25:00Z	2026-01-10T14:25:06Z	
23:30												
23:35												
23:40												
23:45												
23:50												
23:55												
