time_slot	column_a	column_b	column_c	column_d	column_e	video_id	channel_id	title	channel_title	scheduled_start_time	actual_start_time	actual_end_time
23:00	신창섭으로쌀먹하기	https://youtu.be/Vs_Dl-xcI64	1:36	1	개사항팝	Vs_Dl-xcI64	UChVrVFnxa4JEoNrcep0l8TA	항팝나라케이오	신창섭으로쌀먹하기	2026-01-05T14:00:00Z	2026-01-05T14:00:06Z	2026-01-05T14:02:43Z
23:05	"하얀 설"	https://youtu.be/7QsH2DTLT7E	2:27	1	심연	7QsH2DTLT7E	UCtLE7Mqcst1Itu9408t_PMg	"[심연] 돌네그리프"	설2222	2026-01-05T14:05:00Z	2026-01-05T14:05:06Z	2026-01-05T14:08:32Z
23:10	창섭이	https://youtu.be/UJGMCMA9JyI?si=4qLIMmVtds37fE-m	2:20	2		UJGMCMA9JyI	UCGpz7I5JEixbGWA6dN65VsQ	쌀먹노조가	창섭이	2026-01-05T14:10:00Z	2026-01-05T14:10:06Z	2026-01-05T14:14:25Z
23:15	독슝좍	https://www.youtube.com/watch?v=DZGtG3LSutw	3:25	2		DZGtG3LSutw	UCZvDzp98ak83aQFpXrBNfOw	"[창팝] 동네 사람들, 얘 진료기록 보세요"	독슝좍	2026-01-05T14:15:00Z	2026-01-05T14:15:06Z	
23:20	"RBT Entertainment"	https://youtu.be/2vPWcTOlpdU	0:58	2	티저	2vPWcTOlpdU	UCEeOtgxUu4-xI1IpTzBn_Wg	"주간 신창섭 Teaser"	"RBT Music Records"	2026-01-05T14:19:00Z	2026-01-05T14:19:06Z	
23:25												
23:30												
23:35												
23:40												
23:45												
23:50												
23:55												
