time_slot	column_a	column_b	column_c	column_d	column_e	video_id	channel_id	title	channel_title	scheduled_start_time	actual_start_time	actual_end_time
23:00	"RBT Music Records"	"[창팝] 리부트 컴필레이션 2026"	0:33:12	2분	"22:55 시작"							
23:05	"RBT Music Records"											
23:10	"RBT Music Records"											
23:15	"RBT Music Records"											
23:20	"RBT Music Records"											
23:25	"RBT Music Records"											
23:30	리데오	https://youtu.be/K05E7MLzj00?si=Oqi_PpJd1PzyRROC	3:40	2분		K05E7MLzj00	UCGJf0BMCFNerAZy8AKNd87g	"To. 바보에게 (바보들의 세계를 보고)"	리데오	2026-01-09T14:30:00Z	2026-01-09T14:30:06Z	2026-01-09T14:35:50Z
23:35	마슝좍	https://youtu.be/6gKA26qNETw	7:49	2분	"카운트포함 10분"	6gKA26qNETw	UCErnzAQb2jb53dkd0UJ6z5w	"[창팝] 罪痕 (죄흔) - Live"	마슝좍	2026-01-09T14:35:00Z	2026-01-09T14:35:25Z	2026-01-09T14:45:09Z
23:40	마슝좍	SAX										
23:45												
23:50												
23:55												
