time_slot	column_a	column_b	column_c	column_d	column_e	video_id	channel_id	title	channel_title	scheduled_start_time	actual_start_time	actual_end_time
23:00	100ktozero	https://youtu.be/-fPXZVli33Q	2:35	2		-fPXZVli33Q	UC4wJ20RKYaaA_v7WjFCBqww	"Ssal Ape Slayer"	100ktozero	2026-01-25T14:00:00Z	2026-01-25T14:00:06Z	2026-01-25T14:04:40Z
23:05	나락에나락바닥에바닥	https://youtu.be/uKRvXh5M87Y	3:11	1		uKRvXh5M87Y	UCdNadM19-ZbQB8lDYBnIA3Q	"[창팝] My Song"	나락에나락바닥에바닥	2026-01-25T14:05:00Z	2026-01-25T14:05:06Z	2026-01-25T14:09:17Z
23:10	머미슝좍	https://youtu.be/idcbI8aS2f0	3:19	1		idcbI8aS2f0	UCS7q34wxwIxtezOXztLpMCw	"米STAR 쌀숭"	머미슝좍	2026-01-25T14:10:00Z	2026-01-25T14:10:06Z	2026-01-25T14:14:24Z
23:15	무명음악가	https://youtu.be/Iz6GFtJH1dE	3:26	1		Iz6GFtJH1dE	UCZAN2AiP1W0mLuIGsWP_Hmw	"[창팝] [EP] Track 03. Roulette"	무명음악가	2026-01-25T14:15:00Z	2026-01-25T14:15:06Z	2026-01-25T14:19:32Z
23:20	리멤브란서족	https://youtu.be/KRY8GxK2PCk	10:12	1		KRY8GxK2PCk	UCyubHegqy_VnUcyvB1Glo5Q	"To.8384582 - X슝좍, Axion, 선율족, 리멤브란서족, 창팝용, 이단아, XX0708, 너구리돌격대장, 상추토끼, 릴창섭, 독슝좍"	리멤브란서족	2026-01-25T14:20:00Z	2026-01-25T14:20:06Z	2026-01-25T14:31:17Z
23:25	리멤브란서족	https://youtu.be/KRY8GxK2PCk				KRY8GxK2PCk	UCyubHegqy_VnUcyvB1Glo5Q	"To.8384582 - X슝좍, Axion, 선율족, 리멤브란서족, 창팝용, 이단아, XX0708, 너구리돌격대장, 상추토끼, 릴창섭, 독슝좍"	리멤브란서족	2026-01-25T14:20:00Z	2026-01-25T14:20:06Z	2026-01-25T14:31:17Z
23:30	NATi	https://www.youtube.com/watch?v=gyTnSVaeeHA	3:19	2		gyTnSVaeeHA	UCBwi7cYOdBRpjs-XDrI_Oag	"Deep Sea"	NATi	2026-01-25T14:30:00Z	2026-01-25T14:30:06Z	2026-01-25T14:35:26Z
23:35	낙서장	https://www.youtube.com/watch?v=LrwENPL5vZQ	3:51	1		LrwENPL5vZQ	UCsdP8THHYHKG2AO6Ue94O5A	"[리 미제라블: 팬메이드] No.9 - 사랑의 혈육 (A Lovely Night)"	낙서장	2026-01-25T14:35:00Z	2026-01-25T14:35:05Z	2026-01-25T14:39:56Z
23:40												
23:45												
23:50	나락에나락바닥에바닥	https://youtu.be/ve10wZzzCo0	3:38	2		ve10wZzzCo0	UCdNadM19-ZbQB8lDYBnIA3Q	"[창팝] 모든 별빛 사이에서"	나락에나락바닥에바닥	2026-01-25T14:50:00Z	2026-01-25T14:50:16Z	
23:55												
