time_slot	column_a	column_b	column_c	column_d	column_e	video_id	channel_id	title	channel_title	scheduled_start_time	actual_start_time	actual_end_time
23:00	신창섭으로쌀먹하기	https://youtu.be/876MvbqMC_c	3:03	1		876MvbqMC_c	UChVrVFnxa4JEoNrcep0l8TA	"C-Free - 창라큘라2025 ( 비프리-드라큘라2020)"	신창섭으로쌀먹하기	2025-12-02T14:00:00Z	2025-12-02T14:00:06Z	2025-12-02T14:04:08Z
23:05	김dred	"   "	2.56	1								
23:10	나는아무것도몰라요	https://youtu.be/gDNjbO5pqm0	3:50	1		gDNjbO5pqm0	UC0e0-1WmiGtfj1WFbDDuHRA	"[창?팝] Living ‘cause I can’t die"	나는아무것도몰라요	2025-12-02T14:10:00Z	2025-12-02T14:10:06Z	2025-12-02T14:14:56Z
23:15												
23:20	탕이		3:42	2								
23:25												
23:30												
23:35												
23:40												
23:45												
23:50												
23:55												
