time_slot	column_a	column_b	column_c	column_d	column_e	video_id	channel_id	title	channel_title	scheduled_start_time	actual_start_time	actual_end_time
23:00	X슝좍	https://youtu.be/_B1m_4Urx7I?si=ttGog-7bF6xpgF8Y	3:16	2		_B1m_4Urx7I	UCwdDV9XK5gFeycIhQZEaKhQ	"Remix | LEVEL UP (Original - DSJ)"	X슝좍	2025-12-13T14:00:00Z	2025-12-13T14:00:06Z	2025-12-13T14:05:23Z
23:05	체포낙	https://www.youtube.com/watch?v=6i7kcOyx4Rg	5:07	1		6i7kcOyx4Rg	UCi35WeuD14KkTeCmVmqjDKg	"신창섭 - 2025 메이플 겨울 쇼케이스 - CROWN 5분 요약"	체포낙	2025-12-13T14:05:00Z	2025-12-13T14:05:06Z	2025-12-13T14:11:13Z
23:10	4lt3r	https://www.youtube.com/watch?v=gVZpjoFmO78	2:20	2		gVZpjoFmO78	UC8cI3OGG585QFj7WfcRwWsg	"신창섭의 Love & Justice"	4lt3r	2025-12-13T14:10:00Z	2025-12-13T14:10:06Z	2025-12-13T14:14:25Z
23:15												
23:20												
23:25												
23:30												
23:35												
23:40												
23:45												
23:50												
23:55												
