time_slot	column_a	column_b	column_c	column_d	column_e	video_id	channel_id	title	channel_title	scheduled_start_time	actual_start_time	actual_end_time
23:00	이단아	https://youtu.be/_Xkgdymw6BI	4:23	2	"캐롤컵 지원 영상"	_Xkgdymw6BI	UCN0oSeuRcCR6Vq1fBJqCE7Q	"[창팝] 엔딩 크레딧 (Feat. 기랑, 주차장P)"	이단아	2025-12-18T14:00:00Z	2025-12-18T14:00:06Z	2025-12-18T14:06:28Z
23:05	김dred	https://youtu.be/AD6wao1huSE	3:45	2		AD6wao1huSE	UCTc8W4fbpOKdwRkBsEHRzrQ	"30분 - 일개 항팝 제작작의 형방송 도전기 아님"	김dred	2025-12-18T14:05:00Z	2025-12-18T14:05:06Z	2025-12-18T14:10:50Z
23:10	Axion	https://youtu.be/u1anCMhn1qc	4:24	1	캐롤	u1anCMhn1qc	UC57Xp6dcphmG34E9qsvkfKA	"내리는 겨울"	Axion	2025-12-18T14:10:00Z	2025-12-18T14:10:06Z	2025-12-18T14:15:29Z
23:15	대노코부계정	https://youtu.be/CyGlbxFli0s	3:18	2		CyGlbxFli0s	UCfaY7BjYBQvrBQZi_Rk5L3Q	설원동화	대노코부계정	2025-12-18T14:15:00Z	2025-12-18T14:15:06Z	2025-12-18T14:20:23Z
23:20		" "										
23:25												
23:30												
23:35												
23:40												
23:45		"  "										
23:50												
23:55												
