time_slot	column_a	column_b	column_c	video_id	channel_id	title	channel_title	scheduled_start_time	actual_start_time	actual_end_time
23:00										
23:05	독슝좍	https://www.youtube.com/watch?v=mmyRZ7AKSDo	"3:23 / 2분"	mmyRZ7AKSDo	UCZvDzp98ak83aQFpXrBNfOw	"편해 - 신창섭 (Feat. 선율족)"	독슝좍	2025-09-29T14:00:00Z	2025-09-29T14:00:06Z	2025-09-29T14:05:34Z
23:10	"브론넷 박사"	https://youtu.be/8DaRFGNzK3M?si=2a_0u0PytfKKpZry	"3:31 / 2분"	8DaRFGNzK3M	UCwctujGepiKAYSGn_ctlplg	"전직 메챈남."	"브론넷 박사"	2025-09-29T14:05:00Z	2025-09-29T14:05:06Z	2025-09-29T14:10:58Z
23:15	오판의주범	https://youtu.be/Qa77RweyTAY	"4:23/ 2분"	Qa77RweyTAY	UCzxuhXCe5l_XQYJaAEwUvRw	"유입만큼은. (원곡 : 天月 - きみだけは。/ 너만큼은.)"	오판의주범	2025-09-29T14:10:00Z	2025-09-29T14:10:06Z	2025-09-29T14:16:31Z
23:20	창팝용	https://youtu.be/_Qymttjfl0A	3:47/2분	_Qymttjfl0A	UC-6V2KF8UierJH9EXkjoQEw	"[창팝] 리슝좍 - X (Feat. @X슝좍)"	창팝용	2025-09-29T14:15:00Z	2025-09-29T14:15:06Z	2025-09-29T14:20:59Z
23:25	4lt3r	https://www.youtube.com/watch?v=WdDAetsI3iQ	"4:37 / 1분"	WdDAetsI3iQ	UC8cI3OGG585QFj7WfcRwWsg	"We go to the island"	4lt3r	2025-09-29T14:20:00Z	2025-09-29T14:20:05Z	2025-09-29T14:25:53Z
23:30	Selmia	https://www.youtube.com/watch?v=4GSc2IUTCRQ	"3:05 / 2분"	4GSc2IUTCRQ	UCECSUa_GaPYQi7CXOAHG5cA	"Per Aspera Ad Astra"	Selmia	2025-09-29T14:25:00Z	2025-09-29T14:25:11Z	2025-09-29T14:30:47Z
23:35										
23:40										
23:45										
23:50										
23:55		"11시가 보호셀 상태라 한칸씩 밀림(시작은 11시부터)
부족해지면 여기칸 지우고 사용"	"혹시 상태 1주일 
이상가면 새로 팜"							
