time_slot	column_a	column_b	column_c	video_id	channel_id	title	channel_title	scheduled_start_time	actual_start_time	actual_end_time
23:00	스피노의혈육	https://www.youtube.com/watch?v=VNZdntldFCU	"3:02 / 2분"	VNZdntldFCU	UCeR-QIy7p16t85d1Lspqu6g	"[창팝] 부거부거부거지"	스피노의혈육	2025-09-18T14:00:00Z	2025-09-18T14:00:07Z	2025-09-18T14:05:29Z
23:05	JOOGLE	https://www.youtube.com/watch?v=FnD257nNP3s	"3:03 / 2분"	FnD257nNP3s	UCZoCcTVnjccX9Oy9KtcWPlQ	"🕐반복되는 시간 속에서 내 손을 잡아줘🕓 : 다시, 또 다시 [가사/Lyrics]"	JOOGLE	2025-09-18T14:05:00Z	2025-09-18T14:05:06Z	2025-09-18T14:10:29Z
23:10	창팝용	https://youtu.be/_93Alq9zrco	"3:04 / 2분"	_93Alq9zrco	UC-6V2KF8UierJH9EXkjoQEw	"쌀숭이땅 - 쌀 살 거 같아 MV (작사 : @2OO-이우)"	창팝용	2025-09-18T14:10:00Z	2025-09-18T14:10:06Z	2025-09-18T14:15:34Z
23:15	대가리텅텅	https://youtu.be/_XAEgX14wQg	2:37/2분	_XAEgX14wQg	UCeI1wTYnS3lUL4C2jC06KPg	"메랜문학 - 숍제비짱 사랑해 ( 클릭주의 )"	아무생각없는거같기도하고아닌거같기도	2025-09-18T14:15:00Z	2025-09-18T14:15:06Z	2025-09-18T14:20:04Z
23:20	4lt3r	https://www.youtube.com/watch?v=OB_BMponBwA	3:13/2분	OB_BMponBwA	UC8cI3OGG585QFj7WfcRwWsg	"[창팝] 수리수리 마하수리"	4lt3r	2025-09-18T14:20:00Z	2025-09-18T14:20:16Z	
23:25										
23:30										
23:35										
23:40										
23:45										
23:50										
23:55										
