time_slot	column_a	column_b	column_c	video_id	channel_id	title	channel_title	scheduled_start_time	actual_start_time	actual_end_time
23:00										
23:05										
23:10										
23:15										
23:20										
23:25										
23:30										
23:35										
23:40	리멤브란서족	https://youtu.be/pxSHqxltahY	2:36/1분	pxSHqxltahY	UCyubHegqy_VnUcyvB1Glo5Q	memoria	리멤브란서족	2025-09-25T14:40:00Z	2025-09-25T14:40:06Z	2025-09-25T14:44:29Z
23:45	맹혜리	https://youtu.be/--jpaZ2xEZs	4:23/1분	--jpaZ2xEZs	UCMyXD9rg7rsUqSMCPy8CWng	"Beware the RED"	맹혜리	2025-09-25T14:45:00Z	2025-09-25T14:45:06Z	2025-09-25T14:50:54Z
23:50	상추토끼	https://www.youtube.com/watch?v=wUMrkr9uNF0	3:49/1분	wUMrkr9uNF0	UCtU5w-7gQx-EGELB87XkDBA	"[창팝]나는 어디에"	상추토끼	2025-09-25T14:50:00Z	2025-09-25T14:50:06Z	2025-09-25T14:55:04Z
23:55	"습작노트 / ETUDENOTE"	https://youtu.be/B1Me4kY2gGU	"3:23 / 2분"	B1Me4kY2gGU	UCDHfRJlvI3yA5R5zOfLl6CA	"리슝좍 - 웰컴드링크 Welcome Drink"	"습작노트 / ETUDENOTE"	2025-09-25T14:55:00Z		
