time_slot	column_a	column_b	column_c	video_id	channel_id	title	channel_title	scheduled_start_time	actual_start_time	actual_end_time
23:00	춤출까요	https://youtu.be/MJzzwCUeWTg	"2:29 / 2분"	MJzzwCUeWTg	UCK8NhcIs4HMXRKf_TUsDCZA	춤출까요	춤출까요	2025-09-19T14:00:00Z	2025-09-19T14:00:06Z	2025-09-19T14:04:58Z
23:05	41†3Я	https://www.youtube.com/watch?v=UCIoaxlaeuI	"3:58 / 2분"	UCIoaxlaeuI	UC5FDZNJfUcB11p2aJog2DJQ	"Set a Fire (Feat. 4lt3r)"	41†3Я	2025-09-19T14:05:00Z	2025-09-19T14:05:06Z	2025-09-19T14:10:59Z
23:10	창팝용	https://youtu.be/wK1CO8yDT4Q	"3:20 / 2분"	wK1CO8yDT4Q	UC-6V2KF8UierJH9EXkjoQEw	축생도	창팝용	2025-09-19T14:10:00Z	2025-09-19T14:10:06Z	
23:15										
23:20										
23:25										
23:30										
23:35										
23:40										
23:45										
23:50										
23:55										
