time_slot	column_a	column_b	column_c	video_id	channel_id	title	channel_title	scheduled_start_time	actual_start_time	actual_end_time
23:00	TailloW	https://youtu.be/-RfMbikiV68	"4:07 / 2분"	-RfMbikiV68	UCVo_xwgWdHgCtdYIycCqy-g	"[창팝] Ad Astra"	TailloW	2025-09-09T14:00:00Z	2025-09-09T14:00:06Z	2025-09-09T14:06:29Z
23:05	리스항르	https://youtu.be/-9hXBx3lDyU?si=Zju8E3BI_FDsWm2R	"4:16 / 2분"	-9hXBx3lDyU	UCFkPy1vgducXZysIeR2uwgw	"비정상 연주곡"	리스항르	2025-09-09T14:05:00Z	2025-09-09T14:05:06Z	2025-09-09T14:11:24Z
23:10	4lt3r	https://www.youtube.com/watch?v=Ui5bJB4ZEiY	"3:04 / 3분"	Ui5bJB4ZEiY	UC8cI3OGG585QFj7WfcRwWsg	"가자! 롹슨족! (트로트의 대가 헌정 영상)"	4lt3r	2025-09-09T14:10:00Z	2025-09-09T14:10:06Z	
23:15										
23:20										
23:25										
23:30										
23:35										
23:40										
23:45										
23:50										
23:55										
