time_slot	column_a	column_b	column_c	column_d	column_e	video_id	channel_id	title	channel_title	scheduled_start_time	actual_start_time	actual_end_time
23:00	물통도정	https://youtu.be/8OGs-ooMUSI	3:12	2		8OGs-ooMUSI	UCsrInF6CK1bfsnMObuuZHGQ	"Flint - 원죄(原罪)"	물통도정	2025-11-28T14:00:00Z	2025-11-28T14:00:06Z	2025-11-28T14:05:17Z
23:05	새우	https://youtu.be/_bgcRLULv9U	3:24	1		_bgcRLULv9U	UCWEn2VAf90rc14SbPVLVKAw	"쌀파라 디스코 [重音テトSV cover] (나유탄성인 - 태양계 디스코)"	새우	2025-11-28T14:05:00Z	2025-11-28T14:05:06Z	2025-11-28T14:09:29Z
23:10	"브론넷 박사"	https://youtu.be/77uyRKn4Qck	3:25	2		77uyRKn4Qck	UCwctujGepiKAYSGn_ctlplg	"이 겨울을 환영해"	"브론넷 박사"	2025-11-28T14:10:00Z	2025-11-28T14:10:06Z	2025-11-28T14:15:31Z
23:15	4lt3r	https://www.youtube.com/watch?v=RQ-VHTeZvIU	2:54	2		RQ-VHTeZvIU	UC8cI3OGG585QFj7WfcRwWsg	"Beyond you, Missing Mind"	4lt3r	2025-11-28T14:15:00Z	2025-11-28T14:15:06Z	2025-11-28T14:20:00Z
23:20	Selmia	SPS	3:47	2		R48c7ObSNNA	UCECSUa_GaPYQi7CXOAHG5cA	"Space Pirate Ship"	Selmia	2025-11-28T14:20:00Z	2025-11-28T14:20:06Z	2025-11-28T14:25:53Z
23:25												
23:30												
23:35												
23:40		" "										
23:45												
23:50												
23:55												
