time_slot	column_a	column_b	column_c	column_d	column_e	video_id	channel_id	title	channel_title	scheduled_start_time	actual_start_time	actual_end_time
23:00	탕이	https://youtu.be/wAwmHdCesuE	3:xx	?		wAwmHdCesuE	UCjzu6ZOdMfGeWcPr4LM_2dQ	"리듬으로 구원하는 신 Remake"	탕이	2025-11-13T14:00:00Z	2025-11-13T14:00:06Z	2025-11-13T14:05:16Z
23:05	이단아	https://youtu.be/SbMc3DLyZOw	1:18	3		SbMc3DLyZOw	UCN0oSeuRcCR6Vq1fBJqCE7Q	"쌀먹 IS OUT (원곡: Kenshi Yonezu - IRIS OUT) | 체인소맨 레제 ost"	이단아	2025-11-13T14:05:00Z	2025-11-13T14:05:06Z	2025-11-13T14:09:24Z
23:10	인간실격	https://youtu.be/DjXnEoxGIsk	3:21	2		DjXnEoxGIsk	UCNA0Y7duHiQIoE9l-UC66yQ	"39 Punches"	인간실격	2025-11-13T14:10:00Z	2025-11-13T14:10:06Z	2025-11-13T14:15:26Z
23:15	김dred	https://youtu.be/VAz5wfoWG0A	4:00	1		VAz5wfoWG0A	UCTc8W4fbpOKdwRkBsEHRzrQ	"사료(원곡 = 서시)"	김dred	2025-11-13T14:15:00Z	2025-11-13T14:15:05Z	2025-11-13T14:20:06Z
23:20	물통도정	https://youtu.be/vqiVWyZE7DI	2:25	2		vqiVWyZE7DI	UCsrInF6CK1bfsnMObuuZHGQ	"[창팝] 수능 기하 30번 문항 해설"	물통도정	2025-11-13T14:20:00Z	2025-11-13T14:20:06Z	2025-11-13T14:24:31Z
23:25												
23:30												
23:35												
23:40												
23:45												
23:50												
23:55												
