time_slot	column_a	column_b	column_c	column_d	column_e	video_id	channel_id	title	channel_title	scheduled_start_time	actual_start_time	actual_end_time
23:00	레이지	https://youtu.be/PysY8AWcju4	5:10	1		PysY8AWcju4	UC6Yhz_2ciq5Ym3Ojkv9LqCA	"YOASOB-E - 祭囃子 (요아(창)섭이 - 축제음악)"	레이지	2025-11-20T14:00:00Z	2025-11-20T14:00:06Z	2025-11-20T14:06:16Z
23:05	X급뮤직	https://youtu.be/2fVk35M1auI	3:02	2		2fVk35M1auI	UC2VYOSZfJgPi3IC1RSFjOEw	"[창롤] 그대의 과거와 미래에게"	X급뮤직	2025-11-20T14:05:00Z	2025-11-20T14:05:06Z	2025-11-20T14:10:07Z
23:10	창스풀	https://youtu.be/MCZHYgmYtmk	2:28	2		MCZHYgmYtmk	UCHQHYow-wavkS0cunlUrV5A	"[ai/창팝/캐롤] 진눈깨비"	창스풀	2025-11-20T14:10:00Z	2025-11-20T14:10:06Z	2025-11-20T14:14:34Z
23:15	독슝좍	https://youtu.be/ACNK49tRCzo	2:35	2		ACNK49tRCzo	UCZvDzp98ak83aQFpXrBNfOw	"[창팝] 메퓸 (Make Fume)"	독슝좍	2025-11-20T14:15:00Z	2025-11-20T14:15:06Z	2025-11-20T14:19:42Z
23:20	체포낙	https://www.youtube.com/watch?v=k10aYUCDYEU	3:21	2		k10aYUCDYEU	UCi35WeuD14KkTeCmVmqjDKg	"리비아 (원곡: 붕괴3rd 테마곡 - Rubia)"	체포낙	2025-11-20T14:20:00Z	2025-11-20T14:20:06Z	
23:25												
23:30												
23:35												
23:40												
23:45												
23:50												
23:55												
