time_slot	column_a	column_b	column_c	column_d	column_e	video_id	channel_id	title	channel_title	scheduled_start_time	actual_start_time	actual_end_time
23:00	렌슝좍	https://youtu.be/eiGUnQbI4wg	3:59	1		eiGUnQbI4wg	UCcsFJhP7ay5dthUuClp6s7w	일어나	렌슝좍	2025-11-07T14:00:00Z	2025-11-07T14:00:06Z	2025-11-07T14:05:04Z
23:05	인간실격	https://youtu.be/pnSoQTUMXoU	3:11	1		pnSoQTUMXoU	UCNA0Y7duHiQIoE9l-UC66yQ	패기	인간실격	2025-11-07T14:05:00Z	2025-11-07T14:05:22Z	2025-11-07T14:09:16Z
23:10												
23:15												
23:20												
23:25												
23:30												
23:35												
23:40												
23:45												
23:50												
23:55												
