time_slot	column_a	column_b	column_c	column_d	column_e	video_id	channel_id	title	channel_title	scheduled_start_time	actual_start_time	actual_end_time
23:00	레이지	https://youtu.be/_88EJM7kI_M	2:01	1		_88EJM7kI_M	UC6Yhz_2ciq5Ym3Ojkv9LqCA	"[창팝] 심각도 높음"	레이지	2025-11-05T14:00:00Z	2025-11-05T14:00:06Z	2025-11-05T14:03:06Z
23:05	X슝좍	https://youtu.be/9MGIxw88n9E?si=vUt30sQyaE7_ibsq	3:22	2		9MGIxw88n9E	UCwdDV9XK5gFeycIhQZEaKhQ	『쥐흔』	X슝좍	2025-11-05T14:05:00Z	2025-11-05T14:05:06Z	2025-11-05T14:10:29Z
23:10	"브론넷 박사"	https://youtu.be/__lxNh7Ltzk	4:04	1		__lxNh7Ltzk	UCwctujGepiKAYSGn_ctlplg	돌아가봐요(Mastered)	"브론넷 박사"	2025-11-05T14:10:00Z	2025-11-05T14:10:06Z	2025-11-05T14:15:10Z
23:15	니기리선족	https://youtu.be/m2tO5K8OP4Y	3:24	2		m2tO5K8OP4Y	UCiACOKIsTEiwYTl7q1FTsTw	"카링 - 도원경 디스코"	니기리선족	2025-11-05T14:15:00Z	2025-11-05T14:15:06Z	2025-11-05T14:20:29Z
23:20	창스풀	https://youtu.be/QNe_EywUPvI	2:23	2		QNe_EywUPvI	UCHQHYow-wavkS0cunlUrV5A	"[ai/창팝] 비트박스로 때려박는 정상화"	창스풀	2025-11-05T14:20:00Z	2025-11-05T14:20:06Z	2025-11-05T14:24:28Z
23:25					"업로드 오류 떄문에 내일 올림..."							
23:30												
23:35												
23:40												
23:45												
23:50												
23:55												
