time_slot	column_a	column_b	column_c	column_d	column_e	video_id	channel_id	title	channel_title	scheduled_start_time	actual_start_time	actual_end_time
23:00	맹혜리	https://youtu.be/5_SML5VU1Fk	4:38	1분		5_SML5VU1Fk	UCMyXD9rg7rsUqSMCPy8CWng	"쌀팔이여 (SSalpire)"	맹혜리	2025-11-30T14:00:00Z	2025-11-30T14:00:06Z	2025-11-30T14:05:44Z
23:05												
23:10	"TRENCH BLUE"	https://youtu.be/fCMaRGnWX8M	3:31	1분		fCMaRGnWX8M	UCh9CR5N8fh6fhzRbdUvcWiA	아냐고?	"TRENCH BLUE"	2025-11-30T14:10:00Z	2025-11-30T14:10:06Z	2025-11-30T14:14:41Z
23:15	"습작노트 / ETUDENOTE"	https://youtu.be/EYtW9imz7iQ	5:11	2분		EYtW9imz7iQ	UCDHfRJlvI3yA5R5zOfLl6CA	"잔향 RE:VERB"	"습작노트 / ETUDENOTE"	2025-11-30T14:15:00Z	2025-11-30T14:15:21Z	2025-11-30T14:22:34Z
23:20												
23:25												
23:30												
23:35												
23:40		" "										
23:45												
23:50												
23:55												
