time_slot	column_a	column_b	column_c	column_d	column_e	video_id	channel_id	title	channel_title	scheduled_start_time	actual_start_time	actual_end_time
23:00	Mistrain	https://youtu.be/iuoeOIpMAq0	3:36	1		iuoeOIpMAq0	UC40-8u3ryMvkSwXImYLqIvA	"[창팝] Scenario"	Mistrain	2026-05-06T14:00:00Z	2026-05-06T14:00:06Z	2026-05-06T14:04:41Z
23:05	"A라는 I"	https://youtu.be/MMOaxONnk4k	2:51	1		MMOaxONnk4k	UCV1ns2hM3YFP7AuecOf2Gpg	"Get you (Feat.박제 당한 천재들)"	"A라는 I"	2026-05-06T14:05:00Z	2026-05-06T14:05:06Z	2026-05-06T14:08:56Z
23:10												
23:15												
23:20												
23:25												
23:30												
23:35												
23:40												
23:45												
23:50												
23:55												
