time_slot	column_a	column_b	column_c	column_d	column_e	video_id	channel_id	title	channel_title	scheduled_start_time	actual_start_time	actual_end_time
23:00	창섭이	https://youtu.be/UF-LXmLLrL0?si=BcJikdci34MV1SDp	5:37	2		UF-LXmLLrL0	UCGpz7I5JEixbGWA6dN65VsQ	"GIVE AND TAKE"	창섭이	2026-07-13T14:00:00Z	2026-07-13T14:00:05Z	2026-07-13T14:07:43Z
23:05	창섭이	"노래 길이때문에 2칸"										
23:10	빵슝좍	https://youtu.be/ZqQMS73KyP0	4:10	2		ZqQMS73KyP0	UCf82gCvwO3wkx7ajFpIA2Wg	"[창팝] [창타포트] 최대피해자 Live Mix"	빵슝좍	2026-07-13T14:10:00Z	2026-07-13T14:10:06Z	2026-07-13T14:16:15Z
23:15	체포낙	https://youtu.be/pKiaFFTztWc	3:36	2		pKiaFFTztWc	UCi35WeuD14KkTeCmVmqjDKg	"[2026 창타포트] 라탓타 4K LIVE"	체포낙	2026-07-13T14:15:00Z	2026-07-13T14:15:06Z	2026-07-13T14:20:43Z
23:20	레이지	https://youtu.be/DBiGh5IdZMQ	4:08	2		DBiGh5IdZMQ	UC6Yhz_2ciq5Ym3Ojkv9LqCA	"라라 젖탱이는 왜 두개일까 노이즈락 라이브 ver."	레이지	2026-07-13T14:20:00Z	2026-07-13T14:20:05Z	2026-07-13T14:26:13Z
23:25												
23:30												
23:35												
23:40												
23:45												
23:50												
23:55												
