time_slot	column_a	column_b	column_c	column_d	column_e	video_id	channel_id	title	channel_title	scheduled_start_time	actual_start_time	actual_end_time
23:00	상추토끼	쌀크라포빅	2:16	1	개사곡	355MOOQS5Js	UCtU5w-7gQx-EGELB87XkDBA	쌀크라포빅	상추토끼	2026-08-05T14:00:00Z	2026-08-05T14:00:06Z	2026-08-05T14:03:22Z
23:05	리스항르	https://youtu.be/iuF2ioIe_RY	3:56	2		iuF2ioIe_RY	UCFkPy1vgducXZysIeR2uwgw	"너를 전부 잊는다면"	리스항르	2026-08-05T14:05:00Z	2026-08-05T14:05:06Z	
23:10												
23:15												
23:20												
23:25												
23:30												
23:35												
23:40												
23:45												
23:50												
23:55												
