time_slot	column_a	column_b	column_c	video_id	channel_id	title	channel_title	scheduled_start_time	actual_start_time	actual_end_time
23:00	피슈웅좍	https://youtu.be/j8krYI5ELNs?si=Sjjn3qVMfux9ieCH	"4:07 / 예열 1분"	j8krYI5ELNs	UC9Zs6nRQwFkSPWhbTq-7HOA	"Rice party - Ssalsungi"	피슈웅좍	2025-08-23T14:00:00Z	2025-08-23T14:00:06Z	
23:05	맹혜리	https://www.youtube.com/watch?v=Pux--o6tp_I	"3:50 / 2분"	Pux--o6tp_I	UCMyXD9rg7rsUqSMCPy8CWng	"회색 리복 맨투맨 (1994 mix)"	맹혜리	2025-08-23T14:05:00Z		
23:10	창팝딸깍딸깍캬	"[창팝] 어느순간 cut ver - YouTube"								
23:15	창팝용	https://youtu.be/XRKQwBbmeQQ	"3:18 / 2분"	XRKQwBbmeQQ	UC-6V2KF8UierJH9EXkjoQEw	"[창팝] 투명해"	창팝용	2025-08-23T14:15:00Z		
23:20	대노코부계정	https://youtu.be/HnCJW5AMyE8	"3:35 / 2분"	HnCJW5AMyE8	UCfaY7BjYBQvrBQZi_Rk5L3Q	팔랑팔랑	대노코부계정	2025-08-23T14:20:00Z		
23:25	"브론넷 박사"	https://youtu.be/k5YxqZtN00c	"3:48 / 2분"	k5YxqZtN00c	UCwctujGepiKAYSGn_ctlplg	"[창팝] 두개의 숭이"	"브론넷 박사"	2025-08-23T14:25:00Z		
23:30	4lt3r	https://www.youtube.com/watch?v=j79JPnvxgNE	"4:36 / 2분"	j79JPnvxgNE	UC8cI3OGG585QFj7WfcRwWsg	"[창팝] First Time?"	4lt3r	2025-08-23T14:30:00Z		
23:35										
23:40										
23:45										
23:50										
23:55										
