time_slot	column_a	column_b	column_c	video_id	channel_id	title	channel_title	scheduled_start_time	actual_start_time	actual_end_time
23:00	대노코부계정정	https://youtu.be/NsdjJ0joNds	"2분/ 3:05"	NsdjJ0joNds	UCfaY7BjYBQvrBQZi_Rk5L3Q	째깍째깍	대노코부계정	2025-08-19T14:00:00Z	2025-08-19T14:00:06Z	2025-08-19T14:05:34Z
23:05	창팝용	https://youtu.be/9uiMayw_JMM	"2분/ 2:33"	9uiMayw_JMM	UC-6V2KF8UierJH9EXkjoQEw	"[창팝] 진정한 신"	창팝용	2025-08-19T14:05:00Z	2025-08-19T14:05:06Z	2025-08-19T14:10:03Z
23:10	신창섭으로쌀먹하기	https://youtu.be/hBXpSgjs-8w	1분/2:02	hBXpSgjs-8w	UChVrVFnxa4JEoNrcep0l8TA	"[MV] 창섭이야 ( 테켄뮤직-드황이야)"	신창섭으로쌀먹하기	2025-08-19T14:10:00Z	2025-08-19T14:10:06Z	2025-08-19T14:13:28Z
23:15	pie.	https://youtu.be/j6IYAdHk7GQ	"4:37 / 2분"	j6IYAdHk7GQ	UC746JBWOkITyP1daLaTPnxw	"디자이어 드라이브×온세리"	π	2025-08-19T14:13:00Z	2025-08-19T14:13:06Z	2025-08-19T14:19:59Z
23:20	김dred	https://youtu.be/h7_MpyxlReY	3:12/2분	h7_MpyxlReY	UCTc8W4fbpOKdwRkBsEHRzrQ	"쌀사죠걸스 - 왜 쌀다팜"	김dred	2025-08-19T14:20:00Z	2025-08-19T14:20:05Z	2025-08-19T14:25:28Z
23:25										
23:30										
23:35										
23:40										
23:45										
23:50										
23:55										
