time_slot	column_a	column_b	column_c	video_id	channel_id	title	channel_title	scheduled_start_time	actual_start_time	actual_end_time
23:00										
23:05	너구리돌격대장	https://www.youtube.com/watch?v=CRP6f9Jle-E	"02:42/2분 ( 23시부터)"	CRP6f9Jle-E	UCnJ-cv-tud5PAkwgui1gwwg	"[M/V] 메벤남(メベン男) - 메 기꺼이 ( 원곡 : 콧치노 켄토 - 네 기꺼이 )"	너구리돌격대장	2025-10-01T14:00:00Z	2025-10-01T14:00:06Z	2025-10-01T14:05:02Z
23:10	상추토끼	https://www.youtube.com/watch?v=n7zkXCx9JiY&feature=youtu.be	02:35/1분	n7zkXCx9JiY	UCtU5w-7gQx-EGELB87XkDBA	"[창팝]빵 두 쪽 사이 (Between Two Buns)"	상추토끼	2025-10-01T14:05:00Z	2025-10-01T14:05:06Z	2025-10-01T14:09:03Z
23:15	창팝용	https://youtu.be/rGyk_KM8fNo	"2:38/2분 (11:09)"	rGyk_KM8fNo	UC-6V2KF8UierJH9EXkjoQEw	"ZIGE ROBOT (Hyper Pop/Rage)"	창팝용	2025-10-01T14:09:00Z	2025-10-01T14:09:06Z	2025-10-01T14:13:58Z
23:20	신창섭팬계정	https://www.youtube.com/watch?v=DkypjHIn1uE	"3:00 /1분"	DkypjHIn1uE	UCqvuxkREMwqkxRUsTjAAnng	novel	"신창섭 팬계정"	2025-10-01T14:15:00Z	2025-10-01T14:15:06Z	2025-10-01T14:18:58Z
23:25	메벤10추TV	https://youtu.be/rtWHgRCwKd4?si=QAnq07ZsNSfaumZj	"4:10 / 2분"	rtWHgRCwKd4	UC746JBWOkITyP1daLaTPnxw	"ALWAYS SHINING(ILLEGAL REMIX)"	메벤_10추_TV	2025-10-01T14:20:00Z	2025-10-01T14:20:21Z	2025-10-01T14:26:57Z
23:30										
23:35										
23:40										
23:45										
23:50										
23:55		"11시가 보호셀 상태라 한칸씩 밀림(시작은 11시부터)
부족해지면 여기칸 지우고 사용"	"수욜까지 그대로면 해당 링크 
수정권한 목욜 0시 오픈 "							
